,Date,Name,Team,Position,Opp_x,Home/Away,Line,Moneyline,Projection,Diff,Pick,Result_x,pick_over_under,seven_day_accuracy,successful_pick,Matches,Player,Age,Pos,Tm,Home/Away_x,Opp_y,Game Result,GS,MP_x,FG_x,FGA_x,FG%_x,2P_x,2PA_x,2P%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_x,GmSc,BPM,Home/Away_y,Result_y,MP_y,FG_y,FGA_y,FG%_y,2P_y,2PA_y,2P%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,PTS_y,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2021-10-21, Bogdan,ATL,G,DAL,vs.,15.5,-115,16.57,1.07,16.0,11,o,0.47,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-064,G,ATL,Home,DAL,W,1.0,26.0,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.0,0.0,,0.688,0.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,11.0,8.1,2.8,Home,W 113-87,240.0,45.0,94.0,0.479,30.0,59.0,0.508,15.0,35.0,0.429,8.0,9.0,0.889,113.0,31.0,93.0,0.333,18.0,50.0,0.36,13.0,43.0,0.302,12.0,13.0,0.923,87.0
1,2021-10-23, Bogdan,ATL,G,CLE,@,14.5,-115,15.29,0.79,14.5,5,o,0.45,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-066,G,ATL,Away,CLE,L,1.0,27.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.357,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,2.1,-5.6,Away,L 95-101,240.0,38.0,99.0,0.384,28.0,65.0,0.431,10.0,34.0,0.294,9.0,15.0,0.6,95.0,37.0,89.0,0.416,30.0,61.0,0.492,7.0,28.0,0.25,20.0,27.0,0.741,101.0
2,2021-10-25, Bogdan,ATL,G,DET,vs.,15.5,-115,12.85,-2.65,13.5,14,u,0.45,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-068,G,ATL,Home,DET,W,1.0,25.0,5.0,9.0,0.556,3.0,3.0,1.0,2.0,6.0,0.333,2.0,2.0,1.0,0.709,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,14.0,11.3,1.9,Home,W 122-104,240.0,46.0,90.0,0.511,34.0,58.0,0.586,12.0,32.0,0.375,18.0,21.0,0.857,122.0,40.0,91.0,0.44,31.0,58.0,0.534,9.0,33.0,0.273,15.0,18.0,0.833,104.0
3,2021-10-28, Bogdan,ATL,G,WAS,@,12.5,-105,16.72,4.22,12.5,14,o,0.42,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-071,G,ATL,Away,WAS,L,1.0,34.0,6.0,11.0,0.545,5.0,7.0,0.714,1.0,4.0,0.25,1.0,1.0,1.0,0.612,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,14.0,12.3,0.1,Away,L 111-122,240.0,48.0,88.0,0.545,42.0,67.0,0.627,6.0,21.0,0.286,9.0,14.0,0.643,111.0,46.0,99.0,0.465,33.0,65.0,0.508,13.0,34.0,0.382,17.0,21.0,0.81,122.0
4,2021-10-30, Bogdan,ATL,G,PHI,@,12.5,-113,15.71,3.21,12.5,13,o,0.45,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-073,G,ATL,Away,PHI,L,1.0,29.0,6.0,11.0,0.545,5.0,10.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.591,2.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,13.0,9.0,0.5,Away,L 94-122,240.0,36.0,95.0,0.379,28.0,73.0,0.384,8.0,22.0,0.364,14.0,19.0,0.737,94.0,46.0,86.0,0.535,34.0,48.0,0.708,12.0,38.0,0.316,18.0,19.0,0.947,122.0
5,2021-11-01, Bogdan,ATL,G,WAS,vs.,12.5,-115,17.02,4.52,12.5,16,o,0.52,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-075,G,ATL,Home,WAS,W,1.0,34.0,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,2.0,2.0,1.0,0.81,1.0,5.0,6.0,6.0,0.0,0.0,0.0,2.0,16.0,17.3,8.0,Home,W 118-111,240.0,38.0,83.0,0.458,25.0,49.0,0.51,13.0,34.0,0.382,29.0,29.0,1.0,118.0,41.0,86.0,0.477,28.0,47.0,0.596,13.0,39.0,0.333,16.0,16.0,1.0,111.0
6,2021-11-03, Bogdan,ATL,G,BKN,@,13.5,-107,16.81,3.31,13.5,8,o,0.55,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-077,G,ATL,Away,BRK,L,1.0,29.0,3.0,10.0,0.3,2.0,5.0,0.4,1.0,5.0,0.2,1.0,1.0,1.0,0.383,0.0,4.0,4.0,1.0,3.0,0.0,3.0,2.0,8.0,3.3,-8.1,Away,L 108-117,240.0,41.0,94.0,0.436,28.0,59.0,0.475,13.0,35.0,0.371,13.0,15.0,0.867,108.0,43.0,88.0,0.489,21.0,40.0,0.525,22.0,48.0,0.458,9.0,12.0,0.75,117.0
7,2021-11-04, Bogdan,ATL,G,UTH,vs.,12.5,-115,15.37,2.87,12.5,8,o,0.53,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-078,G,ATL,Home,UTA,L,1.0,30.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.667,0.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,8.0,5.7,-4.0,Home,L 98-116,240.0,35.0,82.0,0.427,28.0,54.0,0.519,7.0,28.0,0.25,21.0,26.0,0.808,98.0,41.0,81.0,0.506,24.0,40.0,0.6,17.0,41.0,0.415,17.0,23.0,0.739,116.0
8,2021-11-06, Bogdan,ATL,G,PHO,@,12.5,-110,15.88,3.38,12.5,18,o,0.48,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-080,G,ATL,Away,PHO,L,1.0,29.0,7.0,17.0,0.412,3.0,6.0,0.5,4.0,11.0,0.364,0.0,0.0,,0.529,1.0,6.0,7.0,0.0,0.0,0.0,2.0,3.0,18.0,8.2,-2.4,Away,L 117-121,240.0,42.0,97.0,0.433,29.0,64.0,0.453,13.0,33.0,0.394,20.0,23.0,0.87,117.0,45.0,88.0,0.511,31.0,45.0,0.689,14.0,43.0,0.326,17.0,21.0,0.81,121.0
9,2021-11-08, Bogdan,ATL,G,GSW,@,12.5,-113,15.57,3.07,12.5,17,o,0.44,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-082,G,ATL,Away,GSW,L,1.0,31.0,7.0,14.0,0.5,4.0,6.0,0.667,3.0,8.0,0.375,0.0,0.0,,0.607,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,17.0,9.6,-1.2,Away,L 113-127,240.0,38.0,82.0,0.463,21.0,39.0,0.538,17.0,43.0,0.395,20.0,26.0,0.769,113.0,44.0,92.0,0.478,26.0,48.0,0.542,18.0,44.0,0.409,21.0,22.0,0.955,127.0
10,2021-11-14, Bogdan,ATL,G,MIL,vs.,13.5,-105,14.6,1.1,13.5,6,o,0.47,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-088,G,ATL,Home,MIL,W,1.0,30.0,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,,0.429,0.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,6.0,3.5,-3.4,Home,W 120-100,240.0,47.0,97.0,0.485,32.0,62.0,0.516,15.0,35.0,0.429,11.0,13.0,0.846,120.0,38.0,84.0,0.452,24.0,43.0,0.558,14.0,41.0,0.341,10.0,16.0,0.625,100.0
11,2021-11-20, Bogdan,ATL,G,CHA,vs.,12.5,-122,16.82,4.32,12.5,7,o,0.56,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-094,G,ATL,Home,CHO,W,1.0,24.0,3.0,9.0,0.333,2.0,4.0,0.5,1.0,5.0,0.2,0.0,0.0,,0.389,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,3.2,-7.5,Home,W 115-105,240.0,43.0,82.0,0.524,31.0,48.0,0.646,12.0,34.0,0.353,17.0,21.0,0.81,115.0,43.0,102.0,0.422,33.0,62.0,0.532,10.0,40.0,0.25,9.0,15.0,0.6,105.0
12,2021-11-26, Bogdan,ATL,G,MEM,@,12.5,-110,17.15,4.65,12.5,8,o,0.4,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-100,G,ATL,Away,MEM,W,1.0,26.0,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.82,0.0,7.0,7.0,4.0,0.0,0.0,1.0,3.0,8.0,8.7,1.5,Away,W 132-100,240.0,52.0,89.0,0.584,39.0,62.0,0.629,13.0,27.0,0.481,15.0,21.0,0.714,132.0,37.0,91.0,0.407,25.0,53.0,0.472,12.0,38.0,0.316,14.0,19.0,0.737,100.0
13,2021-11-27, Bogdan,ATL,G,NYK,vs.,11.5,-125,14.06,2.56,11.5,2,o,0.42,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-101,G,ATL,Home,NYK,L,1.0,10.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.6,-3.9,Home,L 90-99,240.0,33.0,93.0,0.355,24.0,56.0,0.429,9.0,37.0,0.243,15.0,20.0,0.75,90.0,36.0,82.0,0.439,25.0,53.0,0.472,11.0,29.0,0.379,16.0,22.0,0.727,99.0
14,2021-12-22, Bogdan,ATL,G,ORL,vs.,15.5,105,14.46,-1.04,15.5,6,u,0.6,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-126,G,ATL,Home,ORL,L,0.0,22.0,2.0,9.0,0.222,1.0,4.0,0.25,1.0,5.0,0.2,1.0,2.0,0.5,0.304,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,6.0,3.7,-5.7,Home,L 98-104,240.0,32.0,80.0,0.4,20.0,49.0,0.408,12.0,31.0,0.387,22.0,29.0,0.759,98.0,38.0,85.0,0.447,27.0,48.0,0.563,11.0,37.0,0.297,17.0,23.0,0.739,104.0
15,2021-12-25, Bogdan,ATL,G,NYK,@,15.5,-113,13.58,-1.92,15.5,8,u,0.6,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-129,G,ATL,Away,NYK,L,1.0,36.0,2.0,12.0,0.167,0.0,4.0,0.0,2.0,8.0,0.25,2.0,3.0,0.667,0.3,0.0,5.0,5.0,4.0,1.0,0.0,2.0,1.0,8.0,2.9,-9.6,Away,L 87-101,240.0,33.0,87.0,0.379,20.0,49.0,0.408,13.0,38.0,0.342,8.0,14.0,0.571,87.0,38.0,85.0,0.447,18.0,35.0,0.514,20.0,50.0,0.4,5.0,12.0,0.417,101.0
16,2022-01-07, Bogdan,ATL,G,LAL,@,11.5,-115,13.5,2.0,11.5,15,o,0.61,1,Bogdan Bogdanovic,Bogdan Bogdanovic,29-142,G,ATL,Away,LAL,L,1.0,27.0,5.0,12.0,0.417,1.0,3.0,0.333,4.0,9.0,0.444,1.0,2.0,0.5,0.582,1.0,3.0,4.0,2.0,1.0,0.0,2.0,1.0,15.0,9.8,1.2,Away,L 118-134,240.0,43.0,96.0,0.448,30.0,60.0,0.5,13.0,36.0,0.361,19.0,27.0,0.704,118.0,50.0,101.0,0.495,33.0,60.0,0.55,17.0,41.0,0.415,17.0,19.0,0.895,134.0
17,2022-01-12, Bogdan,ATL,G,MIA,vs.,14.5,-120,12.1,-2.4,14.5,15,u,0.55,0,Bogdan Bogdanovic,Bogdan Bogdanovic,29-147,G,ATL,Home,MIA,L,1.0,32.0,6.0,14.0,0.429,3.0,3.0,1.0,3.0,11.0,0.273,0.0,0.0,,0.536,0.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,15.0,10.8,2.2,Home,L 91-115,240.0,31.0,82.0,0.378,18.0,37.0,0.486,13.0,45.0,0.289,16.0,23.0,0.696,91.0,43.0,90.0,0.478,27.0,45.0,0.6,16.0,45.0,0.356,13.0,14.0,0.929,115.0
18,2021-10-20,Aaron Gordon,DEN,F,PHO,@,10.5,-113,13.29,2.79,10.5,12,o,0.33,1,Aaron Gordon,Aaron Gordon,26-034,F,DEN,Away,PHO,W,1.0,29.0,5.0,6.0,0.833,4.0,5.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,0.872,2.0,6.0,8.0,4.0,0.0,1.0,3.0,2.0,12.0,12.3,6.1,Away,W 110-98,240.0,44.0,83.0,0.53,27.0,44.0,0.614,17.0,39.0,0.436,5.0,9.0,0.556,110.0,36.0,87.0,0.414,22.0,50.0,0.44,14.0,37.0,0.378,12.0,17.0,0.706,98.0
19,2021-10-22,Aaron Gordon,DEN,F,SAS,vs.,11.5,-103,13.78,2.28,11.5,8,o,0.47,0,Aaron Gordon,Aaron Gordon,26-036,F,DEN,Home,SAS,W,1.0,30.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,0.581,2.0,3.0,5.0,1.0,0.0,0.0,3.0,5.0,8.0,3.0,-8.1,Home,W 102-96,240.0,44.0,86.0,0.512,35.0,56.0,0.625,9.0,30.0,0.3,5.0,8.0,0.625,102.0,40.0,84.0,0.476,34.0,60.0,0.567,6.0,24.0,0.25,10.0,14.0,0.714,96.0
20,2021-10-25,Aaron Gordon,DEN,F,CLE,vs.,10.5,-127,13.59,3.09,10.5,12,o,0.45,1,Aaron Gordon,Aaron Gordon,26-039,F,DEN,Home,CLE,L,1.0,28.0,5.0,14.0,0.357,4.0,9.0,0.444,1.0,5.0,0.2,1.0,2.0,0.5,0.403,3.0,6.0,9.0,1.0,0.0,0.0,3.0,2.0,12.0,4.6,-6.5,Home,L 87-99,240.0,35.0,86.0,0.407,26.0,48.0,0.542,9.0,38.0,0.237,8.0,12.0,0.667,87.0,38.0,82.0,0.463,31.0,57.0,0.544,7.0,25.0,0.28,16.0,20.0,0.8,99.0
21,2021-10-26,Aaron Gordon,DEN,F,UTH,@,10.5,-127,12.47,1.98,10.5,20,o,0.43,1,Aaron Gordon,Aaron Gordon,26-040,F,DEN,Away,UTA,L,1.0,34.0,9.0,13.0,0.692,9.0,10.0,0.9,0.0,3.0,0.0,2.0,4.0,0.5,0.678,1.0,6.0,7.0,1.0,1.0,1.0,4.0,5.0,20.0,12.6,-3.2,Away,L 110-122,240.0,42.0,83.0,0.506,32.0,55.0,0.582,10.0,28.0,0.357,16.0,24.0,0.667,110.0,44.0,85.0,0.518,32.0,46.0,0.696,12.0,39.0,0.308,22.0,29.0,0.759,122.0
22,2021-10-29,Aaron Gordon,DEN,F,DAL,vs.,11.5,-115,14.18,2.67,11.5,13,o,0.45,1,Aaron Gordon,Aaron Gordon,26-043,F,DEN,Home,DAL,W,1.0,24.0,6.0,9.0,0.667,5.0,7.0,0.714,1.0,2.0,0.5,0.0,1.0,0.0,0.689,1.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,13.0,11.3,8.3,Home,W 106-75,240.0,43.0,83.0,0.518,32.0,47.0,0.681,11.0,36.0,0.306,9.0,13.0,0.692,106.0,23.0,78.0,0.295,15.0,41.0,0.366,8.0,37.0,0.216,21.0,27.0,0.778,75.0
23,2021-11-06,Aaron Gordon,DEN,F,HOU,vs.,11.5,-122,13.5,2.0,11.5,9,o,0.48,0,Aaron Gordon,Aaron Gordon,26-051,F,DEN,Home,HOU,W,1.0,28.0,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,,0.643,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,9.0,8.0,3.3,Home,W 95-94,240.0,36.0,89.0,0.404,27.0,49.0,0.551,9.0,40.0,0.225,14.0,17.0,0.824,95.0,35.0,75.0,0.467,27.0,47.0,0.574,8.0,28.0,0.286,16.0,24.0,0.667,94.0
24,2021-11-12,Aaron Gordon,DEN,F,ATL,vs.,11.5,-115,14.85,3.35,12.0,23,o,0.46,1,Aaron Gordon,Aaron Gordon,26-057,F,DEN,Home,ATL,W,1.0,34.0,7.0,11.0,0.636,4.0,6.0,0.667,3.0,5.0,0.6,6.0,6.0,1.0,0.843,1.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,23.0,24.8,18.6,Home,W 105-96,240.0,40.0,90.0,0.444,30.0,55.0,0.545,10.0,35.0,0.286,15.0,20.0,0.75,105.0,38.0,93.0,0.409,33.0,65.0,0.508,5.0,28.0,0.179,15.0,21.0,0.714,96.0
25,2021-11-14,Aaron Gordon,DEN,F,POR,vs.,11.5,-125,14.09,2.59,11.5,11,o,0.47,0,Aaron Gordon,Aaron Gordon,26-059,F,DEN,Home,POR,W,1.0,29.0,5.0,12.0,0.417,5.0,11.0,0.455,0.0,1.0,0.0,1.0,1.0,1.0,0.442,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,-10.4,Home,W 124-95,240.0,47.0,90.0,0.522,28.0,50.0,0.56,19.0,40.0,0.475,11.0,14.0,0.786,124.0,35.0,80.0,0.438,22.0,41.0,0.537,13.0,39.0,0.333,12.0,13.0,0.923,95.0
26,2021-11-18,Aaron Gordon,DEN,F,PHI,vs.,11.5,-130,13.95,2.45,12.5,9,o,0.55,0,Aaron Gordon,Aaron Gordon,26-063,F,DEN,Home,PHI,L,1.0,31.0,4.0,13.0,0.308,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.346,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,9.0,3.9,-8.7,Home,L 89-103,240.0,32.0,89.0,0.36,20.0,53.0,0.377,12.0,36.0,0.333,13.0,16.0,0.813,89.0,43.0,85.0,0.506,32.0,56.0,0.571,11.0,29.0,0.379,6.0,12.0,0.5,103.0
27,2021-11-21,Aaron Gordon,DEN,F,PHO,@,15.5,-125,14.6,-0.9,15.5,16,u,0.55,0,Aaron Gordon,Aaron Gordon,26-066,F,DEN,Away,PHO,L,1.0,30.0,7.0,14.0,0.5,6.0,13.0,0.462,1.0,1.0,1.0,1.0,3.0,0.333,0.522,4.0,6.0,10.0,4.0,2.0,0.0,4.0,3.0,16.0,12.4,1.0,Away,L 97-126,240.0,33.0,90.0,0.367,22.0,52.0,0.423,11.0,38.0,0.289,20.0,28.0,0.714,97.0,46.0,87.0,0.529,35.0,51.0,0.686,11.0,36.0,0.306,23.0,26.0,0.885,126.0
