,Date,Name,Team,Position,Opp,Home/Away,Line,Moneyline,Projection,Diff,Pick,Result,over_under,seven_day_accuracy,successful_pick,Matches
0,2021-10-21, Bogdan,ATL,G,DAL,vs.,15.5,-115,16.57,1.07,15.5,11.0,o,0.47,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
1,2021-10-23, Bogdan,ATL,G,CLE,@,14.5,-115,15.29,0.79,14.5,5.0,o,0.45,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
2,2021-10-25, Bogdan,ATL,G,DET,vs.,15.5,-115,12.85,-2.65,15.5,14.0,u,0.45,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
3,2021-10-27, Bogdan,ATL,G,NOR,@,12.5,-125,13.7,1.2,12.5,12.0,o,0.45,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
4,2021-10-28, Bogdan,ATL,G,WAS,@,12.5,-105,16.72,4.22,12.5,14.0,o,0.42,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
5,2021-10-30, Bogdan,ATL,G,PHI,@,12.5,-113,15.71,3.21,12.5,13.0,o,0.45,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
6,2021-11-01, Bogdan,ATL,G,WAS,vs.,12.5,-115,17.02,4.52,12.5,16.0,o,0.52,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
7,2021-11-03, Bogdan,ATL,G,BKN,@,13.5,-107,16.81,3.31,13.5,8.0,o,0.55,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
8,2021-11-04, Bogdan,ATL,G,UTH,vs.,12.5,-115,15.37,2.87,12.5,8.0,o,0.53,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
9,2021-11-06, Bogdan,ATL,G,PHO,@,12.5,-110,15.88,3.38,12.5,18.0,o,0.48,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
10,2021-11-08, Bogdan,ATL,G,GSW,@,12.5,-113,15.57,3.07,12.5,17.0,o,0.44,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
11,2021-11-14, Bogdan,ATL,G,MIL,vs.,13.5,-105,14.6,1.1,13.5,6.0,o,0.47,0,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
12,2021-11-15, Bogdan,ATL,G,ORL,vs.,12.5,-115,12.62,0.12,12.5,20.0,o,0.47,1,"[('Bogdan Bogdanović', 90), ('Bogdan Bogdanović', 90)]"
