Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
1,LaMarcus Aldridge\aldrila01,36-092,F-C,BRK,@,MIL,L,2021-10-19,0,16,0,2,.000,0,2,.000,0,0,,1,4,.250,.133,0,3,3,1,0,1,1,2,1,-1.1,-15.2
2,Grayson Allen\allengr01,26-011,G,MIL,,BRK,W,2021-10-19,1,28,3,10,.300,0,0,,3,10,.300,1,1,1.000,.479,0,4,4,6,2,0,0,0,10,11.6,6.4
3,Giannis Antetokounmpo\antetgi01,26-317,F-G,MIL,,BRK,W,2021-10-19,1,31,12,25,.480,11,21,.524,1,4,.250,7,9,.778,.552,5,9,14,7,1,2,4,4,32,26.4,11.4
4,Thanasis Antetokounmpo\antetth01,29-093,F,MIL,,BRK,W,2021-10-19,0,12,2,3,.667,2,3,.667,0,0,,2,2,1.000,.773,1,3,4,1,0,1,0,1,6,7.3,8.0
5,Carmelo Anthony\anthoca01,37-143,F,LAL,,GSW,L,2021-10-19,0,26,3,9,.333,1,5,.200,2,4,.500,1,2,.500,.455,0,4,4,2,0,0,1,2,9,4.3,-3.2
6,Kent Bazemore\bazemke01,32-110,G-F,LAL,,GSW,L,2021-10-19,1,31,3,9,.333,1,1,1.000,2,8,.250,0,0,,.444,0,2,2,0,0,1,1,4,8,1.6,-5.5
7,DeAndre' Bembry\bembrde01,27-107,F,BRK,@,MIL,L,2021-10-19,0,4,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.8
8,Nemanja Bjelica\bjeline01,33-163,F,GSW,@,LAL,W,2021-10-19,0,26,6,7,.857,5,6,.833,1,1,1.000,2,2,1.000,.952,2,9,11,4,1,0,1,2,15,18.6,13.6
9,Avery Bradley\bradlav01,30-327,G,LAL,,GSW,L,2021-10-19,0,8,2,3,.667,0,0,,2,3,.667,0,0,,1.000,1,0,1,1,0,0,1,2,6,4.3,10.6
10,Bruce Brown\brownbr01,25-065,G,BRK,@,MIL,L,2021-10-19,0,4,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,1,0,0,0,1.0,4.9
