Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2021-10-19,GSW,@,LAL,W 121-114,240,41,93,.441,27,54,.500,14,39,.359,25,30,.833,121,45,95,.474,30,53,.566,15,42,.357,9,19,.474,114
2,2021-10-19,LAL,,GSW,L 114-121,240,45,95,.474,30,53,.566,15,42,.357,9,19,.474,114,41,93,.441,27,54,.500,14,39,.359,25,30,.833,121
3,2021-10-19,BRK,@,MIL,L 104-127,240,37,84,.440,20,52,.385,17,32,.531,13,23,.565,104,48,105,.457,31,60,.517,17,45,.378,14,18,.778,127
4,2021-10-19,MIL,,BRK,W 127-104,240,48,105,.457,31,60,.517,17,45,.378,14,18,.778,127,37,84,.440,20,52,.385,17,32,.531,13,23,.565,104
5,2021-10-20,CHO,,IND,W 123-122,240,46,107,.430,33,76,.434,13,31,.419,18,27,.667,123,42,90,.467,25,43,.581,17,47,.362,21,24,.875,122
6,2021-10-20,IND,@,CHO,L 122-123,240,42,90,.467,25,43,.581,17,47,.362,21,24,.875,122,46,107,.430,33,76,.434,13,31,.419,18,27,.667,123
7,2021-10-20,CHI,@,DET,W 94-88,240,37,86,.430,30,63,.476,7,23,.304,13,15,.867,94,36,90,.400,30,62,.484,6,28,.214,10,13,.769,88
8,2021-10-20,DET,,CHI,L 88-94,240,36,90,.400,30,62,.484,6,28,.214,10,13,.769,88,37,86,.430,30,63,.476,7,23,.304,13,15,.867,94
9,2021-10-20,CLE,@,MEM,L 121-132,240,47,93,.505,33,55,.600,14,38,.368,13,18,.722,121,53,100,.530,39,67,.582,14,33,.424,12,12,1.000,132
10,2021-10-20,MEM,,CLE,W 132-121,240,53,100,.530,39,67,.582,14,33,.424,12,12,1.000,132,47,93,.505,33,55,.600,14,38,.368,13,18,.722,121
11,2021-10-20,HOU,@,MIN,L 106-124,240,40,88,.455,29,55,.527,11,33,.333,15,22,.682,106,42,87,.483,26,49,.531,16,38,.421,24,31,.774,124
12,2021-10-20,MIN,,HOU,W 124-106,240,42,87,.483,26,49,.531,16,38,.421,24,31,.774,124,40,88,.455,29,55,.527,11,33,.333,15,22,.682,106
13,2021-10-20,NOP,,PHI,L 97-117,240,39,93,.419,26,63,.413,13,30,.433,6,9,.667,97,44,85,.518,31,60,.517,13,25,.520,16,20,.800,117
14,2021-10-20,PHI,@,NOP,W 117-97,240,44,85,.518,31,60,.517,13,25,.520,16,20,.800,117,39,93,.419,26,63,.413,13,30,.433,6,9,.667,97
15,2021-10-20,BOS,@,NYK,L 134-138 (2OT),290,48,117,.410,27,60,.450,21,57,.368,17,23,.739,134,51,105,.486,34,60,.567,17,45,.378,19,27,.704,138
16,2021-10-20,NYK,,BOS,W 138-134 (2OT),290,51,105,.486,34,60,.567,17,45,.378,19,27,.704,138,48,117,.410,27,60,.450,21,57,.368,17,23,.739,134
17,2021-10-20,DEN,@,PHO,W 110-98,240,44,83,.530,27,44,.614,17,39,.436,5,9,.556,110,36,87,.414,22,50,.440,14,37,.378,12,17,.706,98
18,2021-10-20,PHO,,DEN,L 98-110,240,36,87,.414,22,50,.440,14,37,.378,12,17,.706,98,44,83,.530,27,44,.614,17,39,.436,5,9,.556,110
19,2021-10-20,POR,,SAC,L 121-124,240,45,93,.484,33,58,.569,12,35,.343,19,22,.864,121,42,92,.457,25,51,.490,17,41,.415,23,29,.793,124
20,2021-10-20,SAC,@,POR,W 124-121,240,42,92,.457,25,51,.490,17,41,.415,23,29,.793,124,45,93,.484,33,58,.569,12,35,.343,19,22,.864,121
21,2021-10-20,ORL,@,SAS,L 97-123,240,35,86,.407,26,57,.456,9,29,.310,18,23,.783,97,49,98,.500,36,68,.529,13,30,.433,12,18,.667,123
22,2021-10-20,SAS,,ORL,W 123-97,240,49,98,.500,36,68,.529,13,30,.433,12,18,.667,123,35,86,.407,26,57,.456,9,29,.310,18,23,.783,97
23,2021-10-20,TOR,,WAS,L 83-98,240,30,97,.309,23,63,.365,7,34,.206,16,22,.727,83,36,81,.444,31,54,.574,5,27,.185,21,26,.808,98
